Pista,espanol,lectura-facil,descriptiva,lse,ingles
1,0.0015625,0.001539352,0.001203704,0.0015625,0.0015625
2,0.001481481,0.001354167,0.001493056,0.001527778,0.001412037
3,0.001805556,0.001539352,0.001805556,0.001851852,0.001574074
4,0.002199074,0.0021875,0.002152778,0.002210648,0.002164352
5,0.002175926,0.001759259,0.002118056,0.002222222,0.002025463
6,0.001805556,0.001643519,0.002222222,0.001828704,0.001736111
7,0.001574074,0.001018519,0.001759259,0.001585648,0.001400463
8,0.002025463,0.001412037,0.001875,0.002060185,0.001840278
9,0.0028125,0.001875,0.002638889,0.002847222,0.002673611
10,0.001226852,0.00119213,0.000798611,0.00125,0.001342593
Total,0.018668981,0.015520833,0.01806713,0.018946759,0.017731481
