ID,Título Normal ES,Título Normal EN,Título Descriptivo ES,Título Fácil ES,Título Signoguía ES,Descripción ES,Descripción EN,Ubicación Específica ES,Ubicación Específica EN,Latitud,Longitud,Tiene Coordenadas
1,Comenzamos el paseo por la Isla del Soto,We begin our walk through the Soto,AD - Comenzamos el paseo por la Isla del Soto,LF - Comenzamos el paseo por la Isla del Soto,LSE - Comenzamos el paseo por la Isla del Soto,Imagen de la pasarela que une la Isla del Soto con la Aldehuela de los Guzmanes en Salamanca.,Image of the footbridge La Aldehuela de los Guzmanes in Salamanca to Isla del Soto.,Punto 1 de 3,,40.95321544876704,-5.638468969490337,Sí
1,Comenzamos el paseo por la Isla del Soto,We begin our walk through the Soto,AD - Comenzamos el paseo por la Isla del Soto,LF - Comenzamos el paseo por la Isla del Soto,LSE - Comenzamos el paseo por la Isla del Soto,Imagen de la pasarela que une la Isla del Soto con la Aldehuela de los Guzmanes en Salamanca.,Image of the footbridge La Aldehuela de los Guzmanes in Salamanca to Isla del Soto.,Punto 2 de 3,,40.95293230755688,-5.635195377875577,Sí
1,Comenzamos el paseo por la Isla del Soto,We begin our walk through the Soto,AD - Comenzamos el paseo por la Isla del Soto,LF - Comenzamos el paseo por la Isla del Soto,LSE - Comenzamos el paseo por la Isla del Soto,Imagen de la pasarela que une la Isla del Soto con la Aldehuela de los Guzmanes en Salamanca.,Image of the footbridge La Aldehuela de los Guzmanes in Salamanca to Isla del Soto.,Punto 3 de 3,,40.95179705186017,-5.6309736805210795,Sí
2,Origen de la isla,Origins of the island,AD - Origen de la isla,LF - Origen de la isla,LSE - Origen de la isla,Vista aérea de una parte de la Isla del Soto.,Aerial view of part of Isla del Soto.,,,0,0,No
3,Flora,Flora,AD - Flora,LF - Plantas y árboles del Soto,LSE - Flora,Imagen del río Tormes desde la Isla del Soto con la pasarela de la Aldehuela al fondo.,Image of the River Tormes from Isla del Soto with the Aldehuela footbridge in the distance.,,,0,0,No
4,Fauna,Fauna,AD - Fauna,LF - Los animales del Soto,LSE - Fauna,Imagen del río desde la Isla del Soto.,View of the river from Isla del Soto.,,,0,0,No
5,Avifauna del río y del bosque de ribera,Avifauna of the river and riparian forest,AD - Avifauna del río y del bosque de ribera,LF - Aves del río y del Soto,LSE - Avifauna del río y del bosque de ribera,Vista del río Tormes.,View of the River Tormes.,,,40.954758495882956,-5.639159696500225,Sí
6,Especies introducidas,Introduced species,AD - Especies introducidas,LF - Especies introducidas,LSE - Especies introducidas,Imagen del tramo final de la pasarela que une la Aldehuela desde Salamanca con la Isla del Soto.,Image of the end of the footbridge from La Aldehuela de los Guzmanes in Salamanca to Isla del Soto.,,,0,0,No
7,Centro Interpretación Isla del Soto,Isla del Soto Interpretation Centre,AD - Centro Interpretación Isla del Soto,LF - Centro Interpretación Isla del Soto,LSE - Centro Interpretación Isla del Soto,Fachada posterior del Centro de Interpretación de la Isla del Soto.,Rear façade of the Interpretation Centre of Isla del Soto.,,,40.95224503410455,-5.632701721974376,Sí
8,Zonas y usos de la isla,Zones and uses of the island,AD - Zonas y usos de la isla,LF - Zonas y usos de la isla,LSE - Zonas y usos de la isla,Cartel promocional de la Isla del Soto del Centro de Interpretación y de los Museos de la Moto histórica y el Museo de Arte Contenporáneo José Fuentes.,Promotional poster for Isla del Soto the Interpretation Centre the Historic Motorcycle Museum and the José Fuentes Museum of Contemporary Art.,Puesto pescadores,Fishing posts,40.95308182530833,-5.635703166716398,Sí
8,Zonas y usos de la isla,Zones and uses of the island,AD - Zonas y usos de la isla,LF - Zonas y usos de la isla,LSE - Zonas y usos de la isla,Cartel promocional de la Isla del Soto del Centro de Interpretación y de los Museos de la Moto histórica y el Museo de Arte Contenporáneo José Fuentes.,Promotional poster for Isla del Soto the Interpretation Centre the Historic Motorcycle Museum and the José Fuentes Museum of Contemporary Art.,Puesto pescadores,Fishing posts,40.952909778822956,-5.635315227631543,Sí
8,Zonas y usos de la isla,Zones and uses of the island,AD - Zonas y usos de la isla,LF - Zonas y usos de la isla,LSE - Zonas y usos de la isla,Cartel promocional de la Isla del Soto del Centro de Interpretación y de los Museos de la Moto histórica y el Museo de Arte Contenporáneo José Fuentes.,Promotional poster for Isla del Soto the Interpretation Centre the Historic Motorcycle Museum and the José Fuentes Museum of Contemporary Art.,Puesto pescadores,Fishing posts,40.95272410438441,-5.634381467225767,Sí
